18528	სანივთო სამართალი(შოთაძე თ.)	0	2014
18529	სანივთო სამართალი(შოთაძე თ.)	0	2014
18511	სანივთო სამართალი(შოთაძე თ.)	0	2014
18512	სანივთო სამართალი(შოთაძე თ.)	0	2014
18513	სანივთო სამართალი(შოთაძე თ.)	0	2014
18514	სანივთო სამართალი(შოთაძე თ.)	0	2014
18515	სანივთო სამართალი(შოთაძე თ.)	0	2014
18516	სანივთო სამართალი(შოთაძე თ.)	0	2014
18517	სანივთო სამართალი(შოთაძე თ.)	0	2014
18518	სანივთო სამართალი(შოთაძე თ.)	0	2014
18519	სანივთო სამართალი(შოთაძე თ.)	0	2014
18505	სანივთო სამართალი(შოთაძე თ.)	0	2014
18506	სანივთო სამართალი(შოთაძე თ.)	0	2014
18507	სანივთო სამართალი(შოთაძე თ.)	0	2014
18508	სანივთო სამართალი(შოთაძე თ.)	0	2014
18408	სანივთო სამართალი(შოთაძე თ.)	0	2014
18409	სანივთო სამართალი(შოთაძე თ.)	0	2014
18411	სანივთო სამართალი(შოთაძე თ.)	0	2014
18412	სანივთო სამართალი(შოთაძე თ.)	0	2014
18410	სანივთო სამართალი(შოთაძე თ.)	0	2014
18532	ჟურნალისტის ორთოგრაფიულ–სტილისტიკური ლექსიკონი.  I  ტომი(აფრიდონიძე შ., ვაშაკიძე თ.)	0	2010
18533	ჟურნალისტის ორთოგრაფიულ–სტილისტიკური ლექსიკონი.  II ტომი(აფრიდონიძე შ., ვაშაკიძე თ.)	0	2011
18531	ჯვაროსნებისა და ფატიმიანების სამხედრო დაპირისპირება პირველი ჯვაროსნული ლაშქრობის დროს(ნარიმანიშვილი გ.)	0	2009
18500	Introduction to Social Psychology(Miles Hewstone, Wolfgang Stroebe)	2	1996
18501	განმარტებითი იურდიული ლექსიკონი()	0	2014
18502	განმარტებითი იურდიული ლექსიკონი()	0	2014
18503	განმარტებითი იურდიული ლექსიკონი()	0	2014
18504	განმარტებითი იურდიული ლექსიკონი()	0	2014
18509	განმარტებითი იურდიული ლექსიკონი()	0	2014
18510	განმარტებითი იურდიული ლექსიკონი()	0	2014
9601	ფინანსური აღრიცხვის საფუძვლები, წიგნი 1 – ახალი(ნიკვაშვილი ზ.)	0	2008
9343	ფინანსური აღრიცხვის საფუძვლები, წიგნი 1 – ახალი(ნიკვაშვილი ზ.)	0	2008
8225	თანამედროვე საერთაშორისო სამართალი(ალექსიძე ლევანი)	0	2006
18490	Relativistic Kinetic Theory: Principles and Applications(S.R. de Groot; W.A. van Leeuwen)	0	1980
18491	linear Programming: Methods and Applications(Saul I. Gass)	5	2003
18492	Linear Programming: Methods and Applications(Saul I. Gass)	5	1985
18493	Social and Economic Networks(Matthew O. Jackson)	0	2008
18494	The Survivors: Tribes Around the World(Hendrik Neubauer (ed))	0	2008
18495	Guns, Germs, and Steel: The Fates of Human Societies(Jared Diamond)	0	1999
18496	Terror in the Name of God (Persian Language Book 4)(Jessica Stern)	0	2004
18497	Underground(Haruki Murakami)	0	2001
18498	The Network Governance in Response to Acts of Terrorism:Comparative Analyses(Naim Kapucu)	1	2012
18499	Terrorist Organizational Behavior(Dr Michael S.Toney)	0	2015
